Data: 2018-5-30
Czas: 12.27.53
$$$ DANE POMIAROWE PROCESU $$$
PWM: 002
Czas zgrzewania: 011
-
t [ms]; I [A]; U [V]; F [kN]
255.1; 1174; 0; 0
255.4; 1168; 0; 0
255.7; 1163; 0; 0
256.0; 1173; 0; 0
256.3; 1163; 0; 0
256.6; 1175; 0; 0
256.9; 1168; 0; 0
257.2; 1184; 0; 0
257.5; 1157; 0; 0
257.8; 1178; 0; 0
258.1; 1168; 0; 0
258.4; 1162; 0; 0
258.7; 1165; 0; 0
259.0; 1188; 0; 0
259.3; 1175; 0; 0
259.6; 1173; 0; 0
259.9; 1187; 0; 0
260.2; 1180; 0; 0
260.5; 1148; 0; 0
260.8; 1188; 0; 0
261.1; 1158; 0; 0
261.4; 1144; 0; 0
261.7; 1175; 0; 0
262.0; 1183; 0; 0
262.3; 1187; 0; 0
262.6; 1174; 0; 0
262.9; 1173; 0; 0
263.2; 1152; 0; 0
263.5; 1186; 0; 0
263.8; 1170; 0; 0
264.1; 1161; 0; 0
264.4; 1187; 0; 0
264.7; 1182; 0; 0
265.0; 1175; 0; 0
265.3; 1180; 0; 0
265.6; 1157; 0; 0
265.9; 1170; 0; 0
266.2; 1148; 0; 0
266.5; 1158; 0; 0
266.8; 1155; 0; 0
267.1; 1163; 0; 0
267.4; 1165; 0; 0
267.7; 1176; 0; 0
268.0; 1143; 0; 0
268.3; 1152; 0; 0
268.6; 1154; 0; 0
268.9; 1163; 0; 0
269.2; 1167; 0; 0
269.5; 1175; 0; 0
269.8; 1176; 0; 0
270.1; 1162; 0; 0
270.4; 1152; 0; 0
270.7; 1148; 0; 0
271.0; 1154; 0; 0
271.3; 1164; 0; 0
271.6; 1149; 0; 0
271.9; 1162; 0; 0
272.2; 1148; 0; 0
272.5; 1143; 0; 0
272.8; 1141; 0; 0
273.1; 1161; 0; 0
273.4; 1171; 0; 0
273.7; 1169; 0; 0
274.0; 1172; 0; 0
274.3; 1174; 0; 0
274.6; 1144; 0; 0
274.9; 1156; 0; 0
275.2; 1154; 0; 0
275.5; 1175; 0; 0
275.8; 1152; 0; 0
276.1; 1144; 0; 0
276.4; 1172; 0; 0
276.7; 1150; 0; 0
277.0; 1148; 0; 0
277.3; 1176; 0; 0
277.6; 1160; 0; 0
277.9; 1179; 0; 0
278.2; 1149; 0; 0
278.5; 1165; 0; 0
278.8; 1165; 0; 0
279.1; 1172; 0; 0
279.4; 1177; 0; 0
279.7; 1158; 0; 0
280.0; 1173; 0; 0
280.3; 1187; 0; 0
280.6; 1163; 0; 0
280.9; 1147; 0; 0
281.2; 1184; 0; 0
281.5; 1175; 0; 0
281.8; 1176; 0; 0
282.1; 1173; 0; 0
282.4; 1154; 0; 0
282.7; 1173; 0; 0
283.0; 1159; 0; 0
283.3; 1146; 0; 0
283.6; 1163; 0; 0
283.9; 1166; 0; 0
284.2; 1164; 0; 0
284.5; 1181; 0; 0
284.8; 1165; 0; 0
285.1; 1173; 0; 0
285.4; 1175; 0; 0
285.7; 1189; 0; 0
286.0; 1141; 0; 0
286.3; 1147; 0; 0
286.6; 1151; 0; 0
286.9; 1176; 0; 0
287.2; 1162; 0; 0
287.5; 1164; 0; 0
287.8; 1168; 0; 0
288.1; 1150; 0; 0
288.4; 1184; 0; 0
288.7; 1178; 0; 0
